31052020124342, 22222,  "W Is For Wasted - Sue Grafton", $9.95, 11, 15%, $109.45, 31/05/2020 12:43:42
31052020124344, 22222,  "W Is For Wasted - Sue Grafton", $9.95, 11, 15%, $109.45, 31/05/2020 12:43:44
31052020124348, 22222,  "W Is For Wasted - Sue Grafton", $9.95, 11, 15%, $109.45, 31/05/2020 12:43:48
31052020124953, 99999,  "Rogue Lawyer - John Grisham", $15.95, 11, 15%, $175.45, 31/05/2020 12:49:53
31052020124955, 99999,  "Rogue Lawyer - John Grisham", $15.95, 11, 15%, $175.45, 31/05/2020 12:49:55
31052020124958, 99999,  "Rogue Lawyer - John Grisham", $15.95, 11, 15%, $175.45, 31/05/2020 12:49:58
31052020125009, 99999,  "Rogue Lawyer - John Grisham", $15.95, 5, 10%, $79.75, 31/05/2020 12:50:09
31052020125020, 99999,  "Rogue Lawyer - John Grisham", $15.95, 15, 0%, $239.25, 31/05/2020 12:50:20
31052020125102, 44556,  "The Fix - David Baldacci", $12.99, 6, 10%, $77.94, 31/05/2020 12:51:02
31052020125118, 44556,  "The Fix - David Baldacci", $12.99, 6, 10%, $77.94, 31/05/2020 12:51:18
31052020125507, 22222,  "W Is For Wasted - Sue Grafton", $9.95, 11, 15%, $109.45, 31/05/2020 12:55:07
31052020125516, 22222,  "W Is For Wasted - Sue Grafton", $9.95, 11, 15%, $109.45, 31/05/2020 12:55:16
31052020125738, 22222,  "W Is For Wasted - Sue Grafton", $9.95, 1, 0%, $9.95, 31/05/2020 12:57:38
31052020125907, 22222,  "W Is For Wasted - Sue Grafton", $9.95, 20, 20%, $199.00, 31/05/2020 12:59:07
